tech_code,tech_name,colour
XKPHYRRHO0,XK - Hydro Dam outside DRB - Existing ,cadetblue
XKPHYRRNO0,XK - Hydro Dam outside DRB - New ,cornflowerblue
XKPSOU1NO0,XK - Solar PV outside DRB,yellow
XKPSOU1NI0,XK - Solar PV inside DRB,lightyellow
XKPWI25NO0,XK - Wind Turbine outside DRB,pink
XKPWI25NI0,XK - Wind Turbine inside DRB,deeppink
XKTELTRH00,XK - Transmission Lines,lightpink
XKTELDSH00,XK - Distribution Lines,lightsalmon
XKTRDIMH00,XK - Total Electricity Import,gold
XKTRDEXH00,XK - Total Electricity Export,orangered
XKTRDAKH00,XK-AL Historic Trade Link,navy
XKTRDMEH00,XK - ME Historic Trade link,oldlace
MKCWTLK0BD,MK  - Lake Ohrid ,olive
MKCWTCT1BD,MK - Black Drin inflow from Catchment 1 ,olivedrab
MKCWTRS1BD,MK - Black Drin River Segment 1 ,orange
MKCWTSP1BD,MK - Globocica HPP spillway,orangered
MKCWTCT2BD,MK - Black Drin Catchment 2 ,orchid
MKCWTRS2BD,MK - Black Drin River Segment 2,palegoldenrod
MKCWTSP2BD,MK - Shpilje HPP spillway,palegreen
MKCWTCT3DD,MK - Black Drin Catchment 3,paleturquoise
MKCWTRS3DD,MK - Black Drin River Segment 3,palevioletred
ALCWTSP3DD,AL - Skavica HPP spillway (Planned),papayawhip
XKCWTRS1WD,XK - White Drin River Segment 1 ,peachpuff
ALCWTCT1DD,AL - Drin inflow from Catchment 1 ,peru
ALCWTRS1DD,AL - Drin River Segment 1,pink
ALCWTSP4DD,AL - Fierza HPP spillway,plum
ALCWTCT2DD,AL - Drin inflow from Catchment 2 (after Fierza HPP),powderblue
ALCWTRS2DD,AL - Drin River Segment 2,purple
ALCWTSP5DD,AL - Koman HPP spillway,red
ALCWTCT3DD,AL - Drin inflow from Catchment 3 (after Koman HPP),rosybrown
ALCWTRS3DD,AL - Drin River Segment 3,royalblue
ALCWTSP6DD,AL - Vau I dejes HPP spillway,saddlebrown
ALCWTCT4DD,AL - Drin inflow from Catchment 2 (after Vau I dejes HPP),salmon
ALCWTRS4DD,AL - Drin River Segment 4 (outflow from Drin),sandybrown
ALEL3,AL Electricity demand,black
MKEL3,MK Electricity demand,black
MEEL3,ME Electricity demand,black
XKEL3,XK Electricity demand,black
