scenario,country,tech,year,value
REF,Albania,AL-Import,2021,2668.47
REF,Albania,AL-Import,2022,2711.89
REF,Albania,AL-Import,2023,2425.17
REF,Albania,AL-Import,2024,2478.81
REF,Albania,AL-Import,2025,2052.33
REF,Albania,AL-Import,2026,2136.72
REF,Albania,AL-Import,2027,2217.42
REF,Albania,AL-Import,2028,2301.31
REF,Albania,AL-Import,2029,2389.45
REF,Albania,AL-Import,2030,2480.09
REF,Albania,AL-Import,2031,2560.31
REF,Albania,AL-Import,2032,2643.67
REF,Albania,AL-Import,2033,2728.56
REF,Albania,AL-Import,2034,2815.97
REF,Albania,AL-Import,2035,2908.7
REF,Albania,AL-Import,2036,2936.36
REF,Albania,AL-Import,2037,2969.84
REF,Albania,AL-Import,2038,3004.7
REF,Albania,AL-Import,2039,3030.86
REF,Albania,AL-Import,2040,3060.67
REF,Albania,AL-Import,2041,3125.72
REF,Albania,AL-Import,2042,3575.0
REF,Albania,AL-Import,2043,3680.56
REF,Albania,AL-Import,2044,3680.56
REF,Albania,AL-Import,2045,3680.56
REF,Albania,AL-Import,2046,3680.56
REF,Albania,AL-Import,2047,3680.56
REF,Albania,AL-Import,2048,3680.56
REF,Albania,AL-Import,2049,3680.56
REF,Albania,AL-Import,2050,3680.56
REF,Albania,Fierza,2021,1772.56
REF,Albania,Fierza,2022,1789.5
REF,Albania,Fierza,2023,1771.53
REF,Albania,Fierza,2024,1793.42
REF,Albania,Fierza,2025,1756.31
REF,Albania,Fierza,2026,1792.75
REF,Albania,Fierza,2027,1791.31
REF,Albania,Fierza,2028,1794.33
REF,Albania,Fierza,2029,1792.86
REF,Albania,Fierza,2030,1793.36
REF,Albania,Fierza,2031,1792.95
REF,Albania,Fierza,2032,1791.0
REF,Albania,Fierza,2033,1790.11
REF,Albania,Fierza,2034,1788.95
REF,Albania,Fierza,2035,1789.28
REF,Albania,Fierza,2036,1789.31
REF,Albania,Fierza,2037,1789.33
REF,Albania,Fierza,2038,1789.39
REF,Albania,Fierza,2039,1789.56
REF,Albania,Fierza,2040,1789.2
REF,Albania,Fierza,2041,1799.0
REF,Albania,Fierza,2042,1671.7
REF,Albania,Fierza,2043,1681.08
REF,Albania,Fierza,2044,1752.17
REF,Albania,Fierza,2045,1814.72
REF,Albania,Fierza,2046,1886.31
REF,Albania,Fierza,2047,1938.06
REF,Albania,Fierza,2048,1819.03
REF,Albania,Fierza,2049,1788.45
REF,Albania,Fierza,2050,1788.45
REF,Albania,Koman,2021,2010.39
REF,Albania,Koman,2022,2047.31
REF,Albania,Koman,2023,2021.95
REF,Albania,Koman,2024,2044.67
REF,Albania,Koman,2025,2037.42
REF,Albania,Koman,2026,2041.58
REF,Albania,Koman,2027,2041.92
REF,Albania,Koman,2028,2042.2
REF,Albania,Koman,2029,2044.47
REF,Albania,Koman,2030,2044.83
REF,Albania,Koman,2031,2044.86
REF,Albania,Koman,2032,2047.78
REF,Albania,Koman,2033,2049.42
REF,Albania,Koman,2034,2050.0
REF,Albania,Koman,2035,2048.03
REF,Albania,Koman,2036,2051.81
REF,Albania,Koman,2037,2049.11
REF,Albania,Koman,2038,2044.36
REF,Albania,Koman,2039,2044.5
REF,Albania,Koman,2040,2044.2
REF,Albania,Koman,2041,2052.95
REF,Albania,Koman,2042,1939.31
REF,Albania,Koman,2043,1947.7
REF,Albania,Koman,2044,2011.14
REF,Albania,Koman,2045,2066.95
REF,Albania,Koman,2046,2129.64
REF,Albania,Koman,2047,2178.28
REF,Albania,Koman,2048,2070.83
REF,Albania,Koman,2049,2043.53
REF,Albania,Koman,2050,2043.53
REF,Albania,Skavica,2025,549.61
REF,Albania,Skavica,2026,549.61
REF,Albania,Skavica,2027,549.61
REF,Albania,Skavica,2028,549.61
REF,Albania,Skavica,2029,549.61
REF,Albania,Skavica,2030,549.61
REF,Albania,Skavica,2031,549.61
REF,Albania,Skavica,2032,549.61
REF,Albania,Skavica,2033,549.61
REF,Albania,Skavica,2034,549.61
REF,Albania,Skavica,2035,549.61
REF,Albania,Skavica,2036,549.61
REF,Albania,Skavica,2037,549.61
REF,Albania,Skavica,2038,549.61
REF,Albania,Skavica,2039,549.61
REF,Albania,Skavica,2040,549.61
REF,Albania,Skavica,2041,549.61
REF,Albania,Skavica,2042,549.61
REF,Albania,Skavica,2043,549.61
REF,Albania,Skavica,2044,549.61
REF,Albania,Skavica,2045,549.61
REF,Albania,Skavica,2046,549.61
REF,Albania,Skavica,2047,549.61
REF,Albania,Skavica,2048,549.61
REF,Albania,Skavica,2049,549.61
REF,Albania,Skavica,2050,549.61
REF,Albania,Vaudejas,2021,1150.86
REF,Albania,Vaudejas,2022,1157.11
REF,Albania,Vaudejas,2023,1156.78
REF,Albania,Vaudejas,2024,1156.95
REF,Albania,Vaudejas,2025,1156.33
REF,Albania,Vaudejas,2026,1156.47
REF,Albania,Vaudejas,2027,1156.64
REF,Albania,Vaudejas,2028,1156.81
REF,Albania,Vaudejas,2029,1156.97
REF,Albania,Vaudejas,2030,1157.14
REF,Albania,Vaudejas,2031,1157.28
REF,Albania,Vaudejas,2032,1157.42
REF,Albania,Vaudejas,2033,1157.58
REF,Albania,Vaudejas,2034,1157.72
REF,Albania,Vaudejas,2035,1157.89
REF,Albania,Vaudejas,2036,1157.92
REF,Albania,Vaudejas,2037,1157.92
REF,Albania,Vaudejas,2038,1157.95
REF,Albania,Vaudejas,2039,1158.03
REF,Albania,Vaudejas,2040,1157.86
REF,Albania,Vaudejas,2041,1162.5
REF,Albania,Vaudejas,2042,1102.17
REF,Albania,Vaudejas,2043,1126.81
REF,Albania,Vaudejas,2044,1140.31
REF,Albania,Vaudejas,2045,1169.95
REF,Albania,Vaudejas,2046,1183.7
REF,Albania,Vaudejas,2047,1228.39
REF,Albania,Vaudejas,2048,1172.0
REF,Albania,Vaudejas,2049,1157.5
REF,Albania,Vaudejas,2050,1157.5
REF,N.Macedonia,Globocica,2021,179.83
REF,N.Macedonia,Globocica,2022,179.83
REF,N.Macedonia,Globocica,2023,179.83
REF,N.Macedonia,Globocica,2024,179.83
REF,N.Macedonia,Globocica,2025,179.83
REF,N.Macedonia,Globocica,2026,179.83
REF,N.Macedonia,Globocica,2027,179.83
REF,N.Macedonia,Globocica,2028,179.83
REF,N.Macedonia,Globocica,2029,179.83
REF,N.Macedonia,Globocica,2030,179.83
REF,N.Macedonia,Globocica,2031,179.83
REF,N.Macedonia,Globocica,2032,179.83
REF,N.Macedonia,Globocica,2033,179.83
REF,N.Macedonia,Globocica,2034,179.83
REF,N.Macedonia,Globocica,2035,179.83
REF,N.Macedonia,Globocica,2036,179.83
REF,N.Macedonia,Globocica,2037,179.83
REF,N.Macedonia,Globocica,2038,179.83
REF,N.Macedonia,Globocica,2039,177.25
REF,N.Macedonia,Globocica,2040,182.42
REF,N.Macedonia,Globocica,2041,177.25
REF,N.Macedonia,Globocica,2042,182.42
REF,N.Macedonia,Globocica,2043,179.83
REF,N.Macedonia,Globocica,2044,179.83
REF,N.Macedonia,Globocica,2045,179.83
REF,N.Macedonia,Globocica,2046,179.83
REF,N.Macedonia,Globocica,2047,179.83
REF,N.Macedonia,Globocica,2048,179.83
REF,N.Macedonia,Globocica,2049,179.83
REF,N.Macedonia,Globocica,2050,179.83
REF,N.Macedonia,MK-Import,2021,1847.75
REF,N.Macedonia,MK-Import,2022,1871.31
REF,N.Macedonia,MK-Import,2023,1897.75
REF,N.Macedonia,MK-Import,2024,1923.89
REF,N.Macedonia,MK-Import,2025,2822.75
REF,N.Macedonia,MK-Import,2026,3764.53
REF,N.Macedonia,MK-Import,2027,5328.14
REF,N.Macedonia,MK-Import,2028,4859.59
REF,N.Macedonia,MK-Import,2029,4659.84
REF,N.Macedonia,MK-Import,2030,4388.25
REF,N.Macedonia,MK-Import,2031,4097.39
REF,N.Macedonia,MK-Import,2032,3805.5
REF,N.Macedonia,MK-Import,2033,3759.64
REF,N.Macedonia,MK-Import,2034,3850.86
REF,N.Macedonia,MK-Import,2035,3949.98
REF,N.Macedonia,MK-Import,2036,3962.86
REF,N.Macedonia,MK-Import,2037,3981.48
REF,N.Macedonia,MK-Import,2038,4002.81
REF,N.Macedonia,MK-Import,2039,4076.59
REF,N.Macedonia,MK-Import,2040,4638.89
REF,N.Macedonia,MK-Import,2041,4638.89
REF,N.Macedonia,MK-Import,2042,4638.89
REF,N.Macedonia,MK-Import,2043,4638.89
REF,N.Macedonia,MK-Import,2044,4638.89
REF,N.Macedonia,MK-Import,2045,4638.89
REF,N.Macedonia,MK-Import,2046,4638.89
REF,N.Macedonia,MK-Import,2047,4638.89
REF,N.Macedonia,MK-Import,2048,4638.89
REF,N.Macedonia,MK-Import,2049,4638.89
REF,N.Macedonia,MK-Import,2050,4638.89
