REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"EXAMPLE","SD","MINHYD","HYD",2019,64631.9569120287
"EXAMPLE","SD","MINHYD","HYD",2020,64631.9569120287
"EXAMPLE","SD","MINHYD","HYD",2021,64631.9569120287
"EXAMPLE","SD","MINHYD","HYD",2022,64631.9569120287
"EXAMPLE","SD","MINSOL","SOL",2019,35.8905302574089
"EXAMPLE","SD","MINSOL","SOL",2020,35.8905302574088
"EXAMPLE","SD","MINSOL","SOL",2021,35.8905302574088
"EXAMPLE","SD","MINSOL","SOL",2022,35.8905302574088
"EXAMPLE","SD","PWRHYD","ELC001",2019,35.9066427289048
"EXAMPLE","SD","PWRHYD","ELC001",2020,35.9066427289048
"EXAMPLE","SD","PWRHYD","ELC001",2021,35.9066427289048
"EXAMPLE","SD","PWRHYD","ELC001",2022,35.9066427289048
"EXAMPLE","SD","PWRHYD","WAT",2019,64631.9569120287
"EXAMPLE","SD","PWRHYD","WAT",2020,64631.9569120287
"EXAMPLE","SD","PWRHYD","WAT",2021,64631.9569120287
"EXAMPLE","SD","PWRHYD","WAT",2022,64631.9569120287
"EXAMPLE","SD","PWRSOL","ELC002",2019,35.8905302574089
"EXAMPLE","SD","PWRSOL","ELC002",2020,35.8905302574088
"EXAMPLE","SD","PWRSOL","ELC002",2021,35.8905302574088
"EXAMPLE","SD","PWRSOL","ELC002",2022,35.8905302574088
"EXAMPLE","SD","PWRTRN","ELC002",2019,35.9066427289048
"EXAMPLE","SD","PWRTRN","ELC002",2020,35.9066427289048
"EXAMPLE","SD","PWRTRN","ELC002",2021,35.9066427289048
"EXAMPLE","SD","PWRTRN","ELC002",2022,35.9066427289048
"EXAMPLE","SN","MINHYD","HYD",2019,64631.9569120287
"EXAMPLE","SN","MINHYD","HYD",2020,64631.9569120287
"EXAMPLE","SN","MINHYD","HYD",2021,64631.9569120288
"EXAMPLE","SN","MINHYD","HYD",2022,64631.9569120287
"EXAMPLE","SN","PWRHYD","ELC001",2019,35.9066427289048
"EXAMPLE","SN","PWRHYD","ELC001",2020,35.9066427289048
"EXAMPLE","SN","PWRHYD","ELC001",2021,35.9066427289048
"EXAMPLE","SN","PWRHYD","ELC001",2022,35.9066427289048
"EXAMPLE","SN","PWRHYD","WAT",2019,64631.9569120287
"EXAMPLE","SN","PWRHYD","WAT",2020,64631.9569120287
"EXAMPLE","SN","PWRHYD","WAT",2021,64631.9569120287
"EXAMPLE","SN","PWRHYD","WAT",2022,64631.9569120287
"EXAMPLE","SN","PWRTRN","ELC002",2019,35.9066427289048
"EXAMPLE","SN","PWRTRN","ELC002",2020,35.9066427289048
"EXAMPLE","SN","PWRTRN","ELC002",2021,35.9066427289048
"EXAMPLE","SN","PWRTRN","ELC002",2022,35.9066427289048
"EXAMPLE","WD","DEMPWRGAS","GAS",2019,41.7415857999577
"EXAMPLE","WD","DEMPWRGAS","GAS",2020,41.7415857999578
"EXAMPLE","WD","DEMPWRGAS","GAS",2021,41.7415857999577
"EXAMPLE","WD","DEMPWRGAS","GAS",2022,41.7415857999577
"EXAMPLE","WD","MINHYD","HYD",2019,107719.928186715
"EXAMPLE","WD","MINHYD","HYD",2020,107719.928186715
"EXAMPLE","WD","MINHYD","HYD",2021,107719.928186715
"EXAMPLE","WD","MINHYD","HYD",2022,107719.928186715
