
Summary,EXAMPLE
Emissions

Cost,32242.6

TID Demand

,EXAMPLE
Fuel,2019,2020,2021,2022
PWRHYD,WAT,78904.8,78904.8,78904.8,78904.8
PWRHYD,WND,0,0,0,0
PWRSOL,COA,0,0,0,0
PWRSOL,ELC001,0,0,0,0
PWRSOL,ELC002,20.6219,20.6219,20.6219,20.6219
PWRSOL,GAS,0,0,0,0
PWRSOL,HYD,0,0,0,0
PWRSOL,SOL,0,0,0,0
PWRSOL,WAT,0,0,0,0
PWRSOL,WND,0,0,0,0
PWRTRN,COA,0,0,0,0
PWRTRN,ELC001,0,0,0,0
PWRTRN,ELC002,79.3781,79.3781,79.3781,79.3781
PWRTRN,GAS,0,0,0,0
PWRTRN,HYD,0,0,0,0
PWRTRN,SOL,0,0,0,0
PWRTRN,WAT,0,0,0,0
PWRTRN,WND,0,0,0,0
PWRWND,COA,0,0,0,0
PWRWND,ELC001,0,0,0,0
PWRWND,ELC002,0,0,0,0
PWRWND,GAS,0,0,0,0
PWRWND,HYD,0,0,0,0
PWRWND,SOL,0,0,0,0
PWRWND,WAT,0,0,0,0
PWRWND,WND,0,0,0,0


Annual Use (Energy Units)
,EXAMPLE
Technology,Fuel,2019,2020,2021,2022
DEMPWRCOA,COA,0,0,0,0
DEMPWRCOA,ELC001,0,0,0,0
DEMPWRCOA,ELC002,0,0,0,0
DEMPWRCOA,GAS,0,0,0,0
DEMPWRCOA,HYD,0,0,0,0
DEMPWRCOA,SOL,0,0,0,0
DEMPWRCOA,WAT,0,0,0,0
DEMPWRCOA,WND,0,0,0,0
DEMPWRGAS,COA,0,0,0,0
DEMPWRGAS,ELC001,0,0,0,0
DEMPWRGAS,ELC002,0,0,0,0
DEMPWRGAS,GAS,0,0,0,0
DEMPWRGAS,HYD,0,0,0,0
DEMPWRGAS,SOL,0,0,0,0
DEMPWRGAS,WAT,0,0,0,0
DEMPWRGAS,WND,0,0,0,0
MINHYD,COA,0,0,0,0
MINHYD,ELC001,0,0,0,0
MINHYD,ELC002,0,0,0,0
MINHYD,GAS,0,0,0,0
MINHYD,HYD,0,0,0,0
MINHYD,SOL,0,0,0,0
MINHYD,WAT,0,0,0,0
MINHYD,WND,0,0,0,0
MINSOL,COA,0,0,0,0
MINSOL,ELC001,0,0,0,0
MINSOL,ELC002,0,0,0,0
MINSOL,GAS,0,0,0,0
MINSOL,HYD,0,0,0,0
MINSOL,SOL,0,0,0,0
MINSOL,WAT,0,0,0,0
MINSOL,WND,0,0,0,0
MINWND,COA,0,0,0,0
MINWND,ELC001,0,0,0,0
MINWND,ELC002,0,0,0,0
MINWND,GAS,0,0,0,0
MINWND,HYD,0,0,0,0
MINWND,SOL,0,0,0,0
MINWND,WAT,0,0,0,0
MINWND,WND,0,0,0,0
PWRCOA,COA,0,0,0,0
PWRCOA,ELC001,0,0,0,0
PWRCOA,ELC002,0,0,0,0
PWRCOA,GAS,0,0,0,0
PWRCOA,HYD,0,0,0,0
PWRCOA,SOL,0,0,0,0
PWRCOA,WAT,0,0,0,0
PWRCOA,WND,0,0,0,0
PWRGAS,COA,0,0,0,0
PWRGAS,ELC001,0,0,0,0
PWRGAS,ELC002,0,0,0,0
PWRGAS,GAS,71.0841,71.0841,71.0841,71.0841
PWRGAS,HYD,0,0,0,0
PWRGAS,SOL,0,0,0,0
PWRGAS,WAT,0,0,0,0
PWRGAS,WND,0,0,0,0
PWRHYD,COA,0,0,0,0
PWRHYD,ELC001,0,0,0,0
PWRHYD,ELC002,0,0,0,0
PWRHYD,GAS,0,0,0,0
PWRHYD,HYD,78904.8,78904.8,78904.8,78904.8
PWRHYD,SOL,0,0,0,0
PWRHYD,WAT,0,0,0,0
PWRHYD,WND,0,0,0,0
PWRSOL,COA,0,0,0,0
PWRSOL,ELC001,0,0,0,0
PWRSOL,ELC002,0,0,0,0
PWRSOL,GAS,0,0,0,0
PWRSOL,HYD,0,0,0,0
PWRSOL,SOL,20.6219,20.6219,20.6219,20.6219
PWRSOL,WAT,0,0,0,0
PWRSOL,WND,0,0,0,0
PWRTRN,COA,0,0,0,0
PWRTRN,ELC001,79.3781,79.3781,79.3781,79.3781
PWRTRN,ELC002,0,0,0,0
PWRTRN,GAS,0,0,0,0
PWRTRN,HYD,0,0,0,0
PWRTRN,SOL,0,0,0,0
PWRTRN,WAT,0,0,0,0
PWRTRN,WND,0,0,0,0
PWRWND,COA,0,0,0,0
PWRWND,ELC001,0,0,0,0
PWRWND,ELC002,0,0,0,0
PWRWND,GAS,0,0,0,0
PWRWND,HYD,0,0,0,0
PWRWND,SOL,0,0,0,0
PWRWND,WAT,0,0,0,0
PWRWND,WND,0,0,0,0

ProductionByTechnology (Energy Units)

,EXAMPLE
Technology,Fuel,Timeslice,2019,2020,2021,2022
DEMPWRCOA,COA,SD,0,0,0,0
DEMPWRCOA,COA,SN,0,0,0,0
DEMPWRCOA,COA,WD,0,0,0,0
DEMPWRCOA,COA,WN,0,0,0,0
DEMPWRCOA,ELC001,SD,0,0,0,0
DEMPWRCOA,ELC001,SN,0,0,0,0
DEMPWRCOA,ELC001,WD,0,0,0,0
DEMPWRCOA,ELC001,WN,0,0,0,0
DEMPWRCOA,ELC002,SD,0,0,0,0
DEMPWRCOA,ELC002,SN,0,0,0,0
DEMPWRCOA,ELC002,WD,0,0,0,0
DEMPWRCOA,ELC002,WN,0,0,0,0
DEMPWRCOA,GAS,SD,0,0,0,0
DEMPWRCOA,GAS,SN,0,0,0,0
DEMPWRCOA,GAS,WD,0,0,0,0
DEMPWRCOA,GAS,WN,0,0,0,0
DEMPWRCOA,HYD,SD,0,0,0,0
DEMPWRCOA,HYD,SN,0,0,0,0
DEMPWRCOA,HYD,WD,0,0,0,0
DEMPWRCOA,HYD,WN,0,0,0,0
DEMPWRCOA,SOL,SD,0,0,0,0
DEMPWRCOA,SOL,SN,0,0,0,0
DEMPWRCOA,SOL,WD,0,0,0,0
DEMPWRCOA,SOL,WN,0,0,0,0
DEMPWRCOA,WAT,SD,0,0,0,0
DEMPWRCOA,WAT,SN,0,0,0,0
DEMPWRCOA,WAT,WD,0,0,0,0
DEMPWRCOA,WAT,WN,0,0,0,0
DEMPWRCOA,WND,SD,0,0,0,0
DEMPWRCOA,WND,SN,0,0,0,0
DEMPWRCOA,WND,WD,0,0,0,0
