REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"EXAMPLE","SD","PWRHYD","HYD",2019,28806.4631956912
"EXAMPLE","SD","PWRHYD","HYD",2020,28806.4631956912
"EXAMPLE","SD","PWRHYD","HYD",2021,28806.4631956912
"EXAMPLE","SD","PWRHYD","HYD",2022,28806.4631956912
"EXAMPLE","SD","PWRSOL","SOL",2019,15.9964093357271
"EXAMPLE","SD","PWRSOL","SOL",2020,15.9964093357271
"EXAMPLE","SD","PWRSOL","SOL",2021,15.9964093357271
"EXAMPLE","SD","PWRSOL","SOL",2022,15.9964093357271
"EXAMPLE","SD","PWRTRN","ELC001",2019,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC001",2020,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC001",2021,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC001",2022,16.0035906642729
"EXAMPLE","SN","PWRHYD","HYD",2019,14400
"EXAMPLE","SN","PWRHYD","HYD",2020,14400
"EXAMPLE","SN","PWRHYD","HYD",2021,14400
"EXAMPLE","SN","PWRHYD","HYD",2022,14400
"EXAMPLE","SN","PWRTRN","ELC001",2019,8
"EXAMPLE","SN","PWRTRN","ELC001",2020,8
"EXAMPLE","SN","PWRTRN","ELC001",2021,8
"EXAMPLE","SN","PWRTRN","ELC001",2022,8
"EXAMPLE","WD","PWRGAS","GAS",2019,6.91658076705299
"EXAMPLE","WD","PWRGAS","GAS",2020,6.91658076705301
"EXAMPLE","WD","PWRGAS","GAS",2021,6.91658076705299
"EXAMPLE","WD","PWRGAS","GAS",2022,6.91658076705299
"EXAMPLE","WD","PWRHYD","HYD",2019,17849.1921005386
"EXAMPLE","WD","PWRHYD","HYD",2020,17849.1921005386
"EXAMPLE","WD","PWRHYD","HYD",2021,17849.1921005386
"EXAMPLE","WD","PWRHYD","HYD",2022,17849.1921005386
"EXAMPLE","WD","PWRSOL","SOL",2019,4.62549178284095
"EXAMPLE","WD","PWRSOL","SOL",2020,4.62549178284095
"EXAMPLE","WD","PWRSOL","SOL",2021,4.62549178284095
"EXAMPLE","WD","PWRSOL","SOL",2022,4.62549178284095
"EXAMPLE","WD","PWRTRN","ELC001",2019,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC001",2020,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC001",2021,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC001",2022,13.3745082171591
"EXAMPLE","WN","PWRGAS","GAS",2019,64.1675643327349
"EXAMPLE","WN","PWRGAS","GAS",2020,64.1675643327349
"EXAMPLE","WN","PWRGAS","GAS",2021,64.1675643327349
"EXAMPLE","WN","PWRGAS","GAS",2022,64.1675643327349
"EXAMPLE","WN","PWRHYD","HYD",2019,17849.1921005386
"EXAMPLE","WN","PWRHYD","HYD",2020,17849.1921005386
"EXAMPLE","WN","PWRHYD","HYD",2021,17849.1921005386
"EXAMPLE","WN","PWRHYD","HYD",2022,17849.1921005386
"EXAMPLE","WN","PWRTRN","ELC001",2019,42
"EXAMPLE","WN","PWRTRN","ELC001",2020,42
"EXAMPLE","WN","PWRTRN","ELC001",2021,42
"EXAMPLE","WN","PWRTRN","ELC001",2022,42
