REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"EXAMPLE","SD","MINHYD","HYD",2019,28806.4631956912
"EXAMPLE","SD","MINHYD","HYD",2020,28806.4631956912
"EXAMPLE","SD","MINHYD","HYD",2021,28806.4631956912
"EXAMPLE","SD","MINHYD","HYD",2022,28806.4631956912
"EXAMPLE","SD","MINSOL","SOL",2019,15.9964093357271
"EXAMPLE","SD","MINSOL","SOL",2020,15.9964093357271
"EXAMPLE","SD","MINSOL","SOL",2021,15.9964093357271
"EXAMPLE","SD","MINSOL","SOL",2022,15.9964093357271
"EXAMPLE","SD","PWRHYD","ELC001",2019,16.0035906642729
"EXAMPLE","SD","PWRHYD","ELC001",2020,16.0035906642729
"EXAMPLE","SD","PWRHYD","ELC001",2021,16.0035906642729
"EXAMPLE","SD","PWRHYD","ELC001",2022,16.0035906642729
"EXAMPLE","SD","PWRHYD","WAT",2019,28806.4631956912
"EXAMPLE","SD","PWRHYD","WAT",2020,28806.4631956912
"EXAMPLE","SD","PWRHYD","WAT",2021,28806.4631956912
"EXAMPLE","SD","PWRHYD","WAT",2022,28806.4631956912
"EXAMPLE","SD","PWRSOL","ELC002",2019,15.9964093357271
"EXAMPLE","SD","PWRSOL","ELC002",2020,15.9964093357271
"EXAMPLE","SD","PWRSOL","ELC002",2021,15.9964093357271
"EXAMPLE","SD","PWRSOL","ELC002",2022,15.9964093357271
"EXAMPLE","SD","PWRTRN","ELC002",2019,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC002",2020,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC002",2021,16.0035906642729
"EXAMPLE","SD","PWRTRN","ELC002",2022,16.0035906642729
"EXAMPLE","SN","MINHYD","HYD",2019,14400
"EXAMPLE","SN","MINHYD","HYD",2020,14400
"EXAMPLE","SN","MINHYD","HYD",2021,14400
"EXAMPLE","SN","MINHYD","HYD",2022,14400
"EXAMPLE","SN","PWRHYD","ELC001",2019,8
"EXAMPLE","SN","PWRHYD","ELC001",2020,8
"EXAMPLE","SN","PWRHYD","ELC001",2021,8
"EXAMPLE","SN","PWRHYD","ELC001",2022,8
"EXAMPLE","SN","PWRHYD","WAT",2019,14400
"EXAMPLE","SN","PWRHYD","WAT",2020,14400
"EXAMPLE","SN","PWRHYD","WAT",2021,14400
"EXAMPLE","SN","PWRHYD","WAT",2022,14400
"EXAMPLE","SN","PWRTRN","ELC002",2019,8
"EXAMPLE","SN","PWRTRN","ELC002",2020,8
"EXAMPLE","SN","PWRTRN","ELC002",2021,8
"EXAMPLE","SN","PWRTRN","ELC002",2022,8
"EXAMPLE","WD","DEMPWRGAS","GAS",2019,6.91658076705299
"EXAMPLE","WD","DEMPWRGAS","GAS",2020,6.91658076705301
"EXAMPLE","WD","DEMPWRGAS","GAS",2021,6.91658076705299
"EXAMPLE","WD","DEMPWRGAS","GAS",2022,6.91658076705299
"EXAMPLE","WD","MINHYD","HYD",2019,17849.1921005386
"EXAMPLE","WD","MINHYD","HYD",2020,17849.1921005386
"EXAMPLE","WD","MINHYD","HYD",2021,17849.1921005386
"EXAMPLE","WD","MINHYD","HYD",2022,17849.1921005386
"EXAMPLE","WD","MINSOL","SOL",2019,4.62549178284095
"EXAMPLE","WD","MINSOL","SOL",2020,4.62549178284095
"EXAMPLE","WD","MINSOL","SOL",2021,4.62549178284095
"EXAMPLE","WD","MINSOL","SOL",2022,4.62549178284095
"EXAMPLE","WD","PWRGAS","ELC001",2019,3.4582903835265
"EXAMPLE","WD","PWRGAS","ELC001",2020,3.45829038352651
"EXAMPLE","WD","PWRGAS","ELC001",2021,3.4582903835265
"EXAMPLE","WD","PWRGAS","ELC001",2022,3.4582903835265
"EXAMPLE","WD","PWRHYD","ELC001",2019,9.91621783363255
"EXAMPLE","WD","PWRHYD","ELC001",2020,9.91621783363255
"EXAMPLE","WD","PWRHYD","ELC001",2021,9.91621783363255
"EXAMPLE","WD","PWRHYD","ELC001",2022,9.91621783363255
"EXAMPLE","WD","PWRHYD","WAT",2019,17849.1921005386
"EXAMPLE","WD","PWRHYD","WAT",2020,17849.1921005386
"EXAMPLE","WD","PWRHYD","WAT",2021,17849.1921005386
"EXAMPLE","WD","PWRHYD","WAT",2022,17849.1921005386
"EXAMPLE","WD","PWRSOL","ELC002",2019,4.62549178284095
"EXAMPLE","WD","PWRSOL","ELC002",2020,4.62549178284095
"EXAMPLE","WD","PWRSOL","ELC002",2021,4.62549178284095
"EXAMPLE","WD","PWRSOL","ELC002",2022,4.62549178284095
"EXAMPLE","WD","PWRTRN","ELC002",2019,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC002",2020,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC002",2021,13.3745082171591
"EXAMPLE","WD","PWRTRN","ELC002",2022,13.3745082171591
"EXAMPLE","WN","DEMPWRGAS","GAS",2019,64.1675643327349
"EXAMPLE","WN","DEMPWRGAS","GAS",2020,64.1675643327349
"EXAMPLE","WN","DEMPWRGAS","GAS",2021,64.1675643327349
"EXAMPLE","WN","DEMPWRGAS","GAS",2022,64.1675643327349
"EXAMPLE","WN","MINHYD","HYD",2019,17849.1921005386
"EXAMPLE","WN","MINHYD","HYD",2020,17849.1921005386
"EXAMPLE","WN","MINHYD","HYD",2021,17849.1921005386
"EXAMPLE","WN","MINHYD","HYD",2022,17849.1921005386
"EXAMPLE","WN","PWRGAS","ELC001",2019,32.0837821663674
"EXAMPLE","WN","PWRGAS","ELC001",2020,32.0837821663674
"EXAMPLE","WN","PWRGAS","ELC001",2021,32.0837821663674
"EXAMPLE","WN","PWRGAS","ELC001",2022,32.0837821663674
"EXAMPLE","WN","PWRHYD","ELC001",2019,9.91621783363255
"EXAMPLE","WN","PWRHYD","ELC001",2020,9.91621783363255
"EXAMPLE","WN","PWRHYD","ELC001",2021,9.91621783363255
"EXAMPLE","WN","PWRHYD","ELC001",2022,9.91621783363255
"EXAMPLE","WN","PWRHYD","WAT",2019,17849.1921005386
"EXAMPLE","WN","PWRHYD","WAT",2020,17849.1921005386
"EXAMPLE","WN","PWRHYD","WAT",2021,17849.1921005386
"EXAMPLE","WN","PWRHYD","WAT",2022,17849.1921005386
"EXAMPLE","WN","PWRTRN","ELC002",2019,42
"EXAMPLE","WN","PWRTRN","ELC002",2020,42
"EXAMPLE","WN","PWRTRN","ELC002",2021,42
"EXAMPLE","WN","PWRTRN","ELC002",2022,42
