scenario,country,tech,type,year,value
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2021,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2022,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2023,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2024,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2025,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2026,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2027,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2028,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2029,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2030,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2031,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2032,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2033,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2034,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2035,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2036,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2037,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2038,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2039,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2040,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2041,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2042,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2043,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2044,0.32
res,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2045,0.32
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2025,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2026,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2027,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2028,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2029,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2030,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2031,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2032,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2033,0.09
res,Bosnia and Herzegovina,BAPHYDMHI2,hydro,2034,0.09
