old_name,new_name
BAHYDP,BAPHYRRNO0
BAHYDDRBP,BAPHYRRNI0
MEHYD,MEPHYRRHO0
MEHYDDRB,MEPHYRRHI0
MEHYDP,MEPHYRRNO0
MEHYDDRBP,MEPHYRRNI0
RSHYD,RSPHYRRHO0
RSHYDDRB,RSPHYRRHI0
RSHYDP,RSPHYRRNO0
RSHYDDRBP,RSPHYRRNI0
PRBT1,MECWTCT1PA
DRBT0,BACWTCT1DR
DRBT1,BACWTCT2DR
DRBT2,BACWTCT3DR
DRBT3,BACWTCT4DR
DRBT4,BACWTCT5DR
DRBT5,BACWTCT6DR
DRBT6,BACWTCT7DR
DRBT7,BACWTCT8DR
URBT1,RSCWTCT1UC
URBT2,RSCWTCT2UC
URBT3,RSCWTCT3UC
LRBT1,RSCWTCT1LM
SPL1,MECWTSP1PA
SPL2,BACWTSP6DR
SPL3,BACWTSP7DR
SPL4,BACWTSP8DR
SPL5,BACWTSP9DR
SPL6,RSCWTSPXDR
SPL7,RSCWTSPYDR
SPL8,RSCWTSP2UC
SPL9,RSCWTSP3UC
SPL10,RSCWTSP4UC
SPL11,RSCWTSP5LM
Piva_T,MEPHYDMHI1
Visegrad_T,BAPHYDMHI1
BajinaBasta_T,RSPHYDMHI1
Zvornik_T,RSPHYDMHI2
Uvac_T,RSPHYDMHI3
KokinBrod_T,RSPHYDMHI4
Bistrica_T,RSPHYDMHI5
Potpec_T,RSPHYDMHI6
BukBijela_T,BAPHYDMHI2
Foca_T,BAPHYDMHI3
Paunci_T,BAPHYDMHI4
Drina_RS1,BACWTRS1DR
Drina_RS11,BACWTRSXDR
Drina_RS7,BACWTRS3DR
Drina_RS8,BACWTRS4DR
Drina_RS2,BACWTRS2DR
Drina_RS22,BACWTRSYDR
Drina_RS9,BACWTRS5DR
Drina_RS3,BACWTRS6DR
Drina_RS4,BACWTRS7DR
Drina_RS5,RSCWTRS8DR
Drina_RS6,RSCWTRS9DR
Piva_RS1,MECWTRS1PA
Piva_RS2,MECWTRS2PA
Tara_RS1,MECWTRS1TA
Cehotina_RS1,MECWTRS1CE
Uvac_RS1,RSCWTRS1UC
Uvac_RS2,RSCWTRS2UC
Uvac_RS3,RSCWTRS3UC
Uvac_RS4,RSCWTRS4UC
Lim_RS1,RSCWTRS1LM
Lim_RS2,RSCWTRS2LM
U_L_RS,RSCWTRSZUL
ALELMETRADE,ALTRDMEH00
ALELRSTRADE,ALTRDRSH00
BAELHRTRADE,BATRDHRH00
BAELMETRADE,BATRDMEH00
BAELRSTRADE,BATRDRSH00
BGELRSTRADE,BGTRDRSH00
HRELBATRADE,HRTRDBAH00
HRELRSTRADE,HRTRDRSH00
HUELRSTRADE,HUTRDRSH00
ITELMETRADE,ITTRDMEH00
MEELALTRADE,METRDALH00
MEELBATRADE,METRDBAH00
MEELITTRADE,METRDITH00
MEELRSTRADE,METRDRSH00
MEELXKTRADE,METRDXKH00
MKELRSTRADE,MKTRDRSH00
ROELRSTRADE,ROTRDRSH00
RSELALTRADE,RSTRDALH00
RSELBATRADE,RSTRDBAH00
RSELBGTRADE,RSTRDBGH00
RSELHRTRADE,RSTRDHRH00
RSELHUTRADE,RSTRDHUH00
RSELMETRADE,RSTRDMEH00
RSELMKTRADE,RSTRDMKH00
RSELROTRADE,RSTRDROH00
RSELXKTRADE,RSTRDXKH00
XKELMETRADE,XKTRDMEH00
XKELRSTRADE,XKTRDRSH00
