scenario,country,tech,year,value
res,Bosnia and Herzegovina,BukBijela,2025,304.75
res,Bosnia and Herzegovina,BukBijela,2026,340.33
res,Bosnia and Herzegovina,BukBijela,2027,297.94
res,Bosnia and Herzegovina,BukBijela,2028,312.58
res,Bosnia and Herzegovina,BukBijela,2029,307.83
res,Bosnia and Herzegovina,BukBijela,2030,305.47
res,Bosnia and Herzegovina,BukBijela,2031,308.11
res,Bosnia and Herzegovina,BukBijela,2032,305.0
res,Bosnia and Herzegovina,BukBijela,2033,306.56
res,Bosnia and Herzegovina,BukBijela,2034,306.56
res,Bosnia and Herzegovina,BukBijela,2035,306.56
res,Bosnia and Herzegovina,BukBijela,2036,306.31
res,Bosnia and Herzegovina,BukBijela,2037,300.5
res,Bosnia and Herzegovina,BukBijela,2038,303.92
res,Bosnia and Herzegovina,BukBijela,2039,300.14
res,Bosnia and Herzegovina,BukBijela,2040,303.31
res,Bosnia and Herzegovina,BukBijela,2041,306.81
res,Bosnia and Herzegovina,BukBijela,2042,306.56
res,Bosnia and Herzegovina,BukBijela,2043,306.56
res,Bosnia and Herzegovina,BukBijela,2044,306.56
res,Bosnia and Herzegovina,BukBijela,2045,275.28
res,Bosnia and Herzegovina,Foca,2025,164.61
res,Bosnia and Herzegovina,Foca,2026,181.64
res,Bosnia and Herzegovina,Foca,2027,161.17
res,Bosnia and Herzegovina,Foca,2028,168.19
res,Bosnia and Herzegovina,Foca,2029,165.83
res,Bosnia and Herzegovina,Foca,2030,164.81
res,Bosnia and Herzegovina,Foca,2031,166.08
res,Bosnia and Herzegovina,Foca,2032,164.56
res,Bosnia and Herzegovina,Foca,2033,165.33
res,Bosnia and Herzegovina,Foca,2034,165.33
res,Bosnia and Herzegovina,Foca,2035,165.33
res,Bosnia and Herzegovina,Foca,2036,165.33
res,Bosnia and Herzegovina,Foca,2037,162.44
res,Bosnia and Herzegovina,Foca,2038,164.06
res,Bosnia and Herzegovina,Foca,2039,162.22
res,Bosnia and Herzegovina,Foca,2040,163.75
res,Bosnia and Herzegovina,Foca,2041,165.44
res,Bosnia and Herzegovina,Foca,2042,165.33
res,Bosnia and Herzegovina,Foca,2043,165.33
res,Bosnia and Herzegovina,Foca,2044,165.33
res,Bosnia and Herzegovina,Foca,2045,150.31
res,Bosnia and Herzegovina,Paunci,2025,159.67
res,Bosnia and Herzegovina,Paunci,2026,172.97
res,Bosnia and Herzegovina,Paunci,2027,156.89
res,Bosnia and Herzegovina,Paunci,2028,162.39
res,Bosnia and Herzegovina,Paunci,2029,160.53
res,Bosnia and Herzegovina,Paunci,2030,159.75
res,Bosnia and Herzegovina,Paunci,2031,160.72
res,Bosnia and Herzegovina,Paunci,2032,159.56
res,Bosnia and Herzegovina,Paunci,2033,160.14
res,Bosnia and Herzegovina,Paunci,2034,160.14
res,Bosnia and Herzegovina,Paunci,2035,160.14
res,Bosnia and Herzegovina,Paunci,2036,160.14
res,Bosnia and Herzegovina,Paunci,2037,157.89
res,Bosnia and Herzegovina,Paunci,2038,159.14
res,Bosnia and Herzegovina,Paunci,2039,157.69
res,Bosnia and Herzegovina,Paunci,2040,158.92
res,Bosnia and Herzegovina,Paunci,2041,160.25
res,Bosnia and Herzegovina,Paunci,2042,160.14
res,Bosnia and Herzegovina,Paunci,2043,160.14
res,Bosnia and Herzegovina,Paunci,2044,160.14
res,Bosnia and Herzegovina,Paunci,2045,148.39
res,Bosnia and Herzegovina,Visegrad,2021,1102.31
res,Bosnia and Herzegovina,Visegrad,2022,1087.75
