scenario,country,tech,type,year,value
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2021,10483.54
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2022,10409.12
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2023,10355.31
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2024,7547.67
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2025,7553.59
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2026,4649.61
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2027,3151.09
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2028,1874.45
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2029,993.5
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2030,621.08
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2031,592.56
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2032,543.78
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2033,470.92
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2034,368.28
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2035,278.86
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2036,198.94
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2037,126.81
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2038,103.86
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2039,88.92
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2040,91.08
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2041,102.94
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2042,112.42
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2043,123.33
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2044,134.78
amb,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2045,158.42
amb,Bosnia and Herzegovina,BAPCOSCHO0DRB,thermal,2021,524.33
amb,Bosnia and Herzegovina,BAPCOSCHO0DRB,thermal,2022,242.83
amb,Bosnia and Herzegovina,BAPCOSCHO0DRB,thermal,2023,235.92
amb,Bosnia and Herzegovina,BAPCOSCHO0DRB,thermal,2024,40.64
amb,Bosnia and Herzegovina,BAPCOSCHO0DRB,thermal,2025,26.56
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2024,2944.61
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2025,2944.61
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2026,4907.7
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2027,4907.7
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2028,4605.0
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2029,3215.5
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2030,2958.89
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2031,2903.06
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2032,2894.81
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2033,2854.45
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2034,2803.86
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2035,2740.09
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2036,2649.89
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2037,2331.17
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2038,2248.0
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2039,2188.92
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2040,2130.17
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2041,2150.56
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2042,2161.47
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2043,2176.7
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2044,2193.14
amb,Bosnia and Herzegovina,BAPCOSCHO0P,thermal,2045,2249.06
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2021,1211.33
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2022,1280.64
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2023,1249.61
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2024,1239.47
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2025,1234.67
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2026,1180.53
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2027,1305.5
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2028,1183.39
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2029,1325.33
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2030,1199.45
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2031,1225.97
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2032,1236.17
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2033,1243.89
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2034,1243.89
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2035,1243.89
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2036,1242.89
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2037,1240.22
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2038,1240.22
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2039,1240.22
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2040,1236.81
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2041,1235.92
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2042,1230.95
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2043,1230.06
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2044,1230.06
amb,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2045,1182.64
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2021,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2022,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2023,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2024,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2025,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2026,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2027,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2028,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2029,4659.31
amb,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2030,4659.31
