Optimal - objective value 1897475675.46661330
   1548 NewCapacity(region,METELTRDS0,2034)                                         0.21978086                      0
   1549 NewCapacity(region,METELTRDS0,2035)                                          0.2378252                      0
   1550 NewCapacity(region,METELTRDS0,2036)                                         0.20513783                      0
   1551 NewCapacity(region,METELTRDS0,2037)                                         0.21425353                      0
   1552 NewCapacity(region,METELTRDS0,2038)                                         0.28353893                      0
   1553 NewCapacity(region,METELTRDS0,2039)                                         0.29444428                      0
   1554 NewCapacity(region,METELTRDS0,2040)                                         0.29444428                      0
   1555 NewCapacity(region,METELTRDS0,2041)                                         0.28353893                      0
   1722 NewCapacity(region,MEPWI25NO0,2026)                                               0.07                      0
   1743 NewCapacity(region,MEPWI30NO0,2021)                                              0.035                      0
   1746 NewCapacity(region,MEPWI30NO0,2024)                                              0.035                      0
   1750 NewCapacity(region,MEPWI30NO0,2028)                                               0.03                      0
   1754 NewCapacity(region,MEPWI30NO0,2032)                                      0.00018207529                      0
   1767 NewCapacity(region,MEPWI30NO0,2045)                                        0.023434482                      0
   1846 NewCapacity(region,RSRCODM000,2020)                                          396.50093                      0
   1847 NewCapacity(region,RSRCODM000,2021)                                          4.4874795                      0
   1848 NewCapacity(region,RSRCODM000,2022)                                          5.2877328                      0
   1849 NewCapacity(region,RSRCODM000,2023)                                          1.3353967                      0
   1871 NewCapacity(region,RSRCODM000,2045)                                          308.61414                      0
   2185 NewCapacity(region,RSPHYRRNO0,2021)                                              0.075                      0
   2186 NewCapacity(region,RSPHYRRNO0,2022)                                              0.075                      0
   2187 NewCapacity(region,RSPHYRRNO0,2023)                                              0.075                      0
   2188 NewCapacity(region,RSPHYRRNO0,2024)                                              0.075                      0
   2189 NewCapacity(region,RSPHYRRNO0,2025)                                              0.075                      0
   2190 NewCapacity(region,RSPHYRRNO0,2026)                                              0.075                      0
   2191 NewCapacity(region,RSPHYRRNO0,2027)                                              0.075                      0
   2192 NewCapacity(region,RSPHYRRNO0,2028)                                              0.075                      0
   2193 NewCapacity(region,RSPHYRRNO0,2029)                                              0.075                      0
   2194 NewCapacity(region,RSPHYRRNO0,2030)                                              0.075                      0
   2195 NewCapacity(region,RSPHYRRNO0,2031)                                              0.075                      0
   2196 NewCapacity(region,RSPHYRRNO0,2032)                                              0.075                      0
   2197 NewCapacity(region,RSPHYRRNO0,2033)                                              0.075                      0
   2198 NewCapacity(region,RSPHYRRNO0,2034)                                              0.075                      0
   2199 NewCapacity(region,RSPHYRRNO0,2035)                                              0.075                      0
   2200 NewCapacity(region,RSPHYRRNO0,2036)                                              0.075                      0
   2201 NewCapacity(region,RSPHYRRNO0,2037)                                              0.075                      0
   2202 NewCapacity(region,RSPHYRRNO0,2038)                                              0.075                      0
   2203 NewCapacity(region,RSPHYRRNO0,2039)                                              0.075                      0
   2204 NewCapacity(region,RSPHYRRNO0,2040)                                              0.075                      0
   2269 NewCapacity(region,RSPSOU1NI0,2027)                                                0.4                      0
   2270 NewCapacity(region,RSPSOU1NI0,2028)                                               0.05                      0
   2271 NewCapacity(region,RSPSOU1NI0,2029)                                               0.05                      0
   2272 NewCapacity(region,RSPSOU1NI0,2030)                                               0.05                      0
   2273 NewCapacity(region,RSPSOU1NI0,2031)                                               0.05                      0
   2274 NewCapacity(region,RSPSOU1NI0,2032)                                               0.05                      0
   2275 NewCapacity(region,RSPSOU1NI0,2033)                                               0.05                      0
   2276 NewCapacity(region,RSPSOU1NI0,2034)                                               0.05                      0
   2277 NewCapacity(region,RSPSOU1NI0,2035)                                               0.05                      0
   2278 NewCapacity(region,RSPSOU1NI0,2036)                                               0.05                      0
   2279 NewCapacity(region,RSPSOU1NI0,2037)                                               0.05                      0
   2280 NewCapacity(region,RSPSOU1NI0,2038)                                               0.05                      0
   2281 NewCapacity(region,RSPSOU1NI0,2039)                                               0.05                      0
   2282 NewCapacity(region,RSPSOU1NI0,2040)                                               0.05                      0
   2283 NewCapacity(region,RSPSOU1NI0,2041)                                               0.05                      0
